name	Simulation_left_010_007_5M_bracken	Simulation_left_020_007_5M_bracken	Simulation_left_050_007_5M_bracken	Simulation_left_100_007_5M_bracken	Simulation_left_150_007_5M_bracken	Simulation_left_200_007_5M_bracken	Simulation_left_250_007_5M_bracken	Simulation_left_300_007_5M_bracken	Simulation_left_500_007_5M_bracken	Simulation_left_010_015M_bracken	Simulation_left_020_015M_bracken	Simulation_left_050_015M_bracken	Simulation_left_100_015M_bracken	Simulation_left_150_015M_bracken	Simulation_left_200_015M_bracken	Simulation_left_250_015M_bracken	Simulation_left_300_015M_bracken	Simulation_left_500_015M_bracken	Simulation_left_010_030M_bracken	Simulation_left_020_030M_bracken	Simulation_left_050_030M_bracken	Simulation_left_100_030M_bracken	Simulation_left_150_030M_bracken	Simulation_left_200_030M_bracken	Simulation_left_250_030M_bracken	Simulation_left_300_030M_bracken	Simulation_left_500_030M_bracken	Simulation_left_010_045M_bracken	Simulation_left_020_045M_bracken	Simulation_left_050_045M_bracken	Simulation_left_100_045M_bracken	Simulation_left_150_045M_bracken	Simulation_left_200_045M_bracken	Simulation_left_250_045M_bracken	Simulation_left_300_045M_bracken	Simulation_left_500_045M_bracken	Simulation_left_010_090M_bracken	Simulation_left_020_090M_bracken	Simulation_left_050_090M_bracken	Simulation_left_100_090M_bracken	Simulation_left_150_090M_bracken	Simulation_left_200_090M_bracken	Simulation_left_250_090M_bracken	Simulation_left_300_090M_bracken	Simulation_left_500_090M_bracken	Simulation_left_010_150M_bracken	Simulation_left_020_150M_bracken	Simulation_left_050_150M_bracken	Simulation_left_100_150M_bracken	Simulation_left_150_150M_bracken	Simulation_left_200_150M_bracken	Simulation_left_250_150M_bracken	Simulation_left_300_150M_bracken	Simulation_left_500_150M_bracken
Streptomyces fulvissimus	0	0.0002	0.0001	0.0002	0.0001	0.0002	0	0.0001	0.0002	0	0.0001	0.0001	0	0.0005	0.0001	0.0021	0.0001	0.0002	0	0.0001	0	0.0002	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0	0	0.0001	0	0.0001	0.0001	0.0001	0.0004	0.0003	0.0001	0.0002	0.0001	0.0002	0.0002	0.0001	0	0.0005	0.0003	0.0001	0	0	0	0.0001	0.0001
Flavobacterium commune	0	0	0.0001	0	0	0.0001	0	0	0.0002	0.0001	0	0.0001	0	0.0001	0.0001	0.0004	0.0001	0.0009	0.0002	0	0	0	0	0	0	0	0	0	0	0.0003	0.0001	0.0001	0	0.0001	0	0.0001	0	0	0.0165	0	0.0001	0.0001	0.0001	0	0.0001	0	0.0041	0.0003	0	0	0	0.0001	0	0
Rhizobium sp. NXC24	0	0.0001	0	0.0001	0.0002	0	0.0001	0.0009	0.0001	0	0	0	0.0001	0.0002	0	0.0002	0.0001	0	0	0.0008	0	0	0.0006	0.0001	0.0004	0	0	0	0	0.001	0	0.0001	0.0002	0.0001	0	0	0	0	0.0001	0	0.0001	0	0	0.0006	0	0	0	0	0.0001	0.0008	0.0002	0.0001	0.0001	0
Mycobacterium paragordonae	0	0	0.0001	0.0001	0	0	0.0007	0.0006	0	0	0.0001	0	0.0038	0.0003	0	0	0	0.0001	0	0	0.0002	0.0001	0.0147	0	0.0001	0.0001	0	0.0001	0.001	0	0	0	0.0001	0	0	0	0.0001	0	0	0.0004	0	0	0	0.0027	0.0001	0.0001	0.0001	0.0001	0	0	0.0001	0	0.0018	0.0001
Chryseobacterium aureum	0	0	0	0	0	0.0001	0.001	0.0001	0	0.003	0	0.0003	0	0.0001	0.0003	0.0004	0	0.0001	0	0	0.0001	0.0002	0	0.0001	0	0	0	0	0	0	0.0008	0.0002	0	0.0001	0.0021	0.0075	0.0001	0	0	0	0.0001	0	0	0.0008	0.0001	0	0.0001	0	0.0001	0	0	0	0	0.0001
Bdellovibrio sp. ZAP7	0	0	0	0	0.0124	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysobacter alkalisoli	0	0	0	0	0.0001	0.0001	0	0	0	0	0	0	0.0001	0	0.0001	0.0002	0	0	0	0	0	0	0	0.0003	0.0001	0	0.0001	0	0	0	0.0253	0	0	0	0	0.0022	0.0001	0	0.0002	0	0	0	0	0	0.0001	0	0	0	0	0	0	0.0004	0.0001	0.0043
Nocardia wallacei	0	0.0001	0.0001	0.0085	0.0001	0.0001	0.0001	0	0.0001	0	0.0017	0	0.0001	0	0.0001	0.0001	0.0002	0.0001	0	0	0	0.0001	0.0009	0	0.0008	0.0005	0.0002	0.0002	0.0002	0.0001	0.0003	0.0001	0.0002	0.0003	0.0002	0.0003	0.0001	0	0	0	0.0001	0.0004	0.0003	0.0009	0.0003	0.0035	0.0016	0.0001	0	0.0002	0.0001	0.0002	0.0005	0.0002
Streptomyces sp. ZFG47	0	0.0002	0	0.0002	0.0002	0.001	0	0.0002	0.0001	0	0.0001	0.0002	0	0.0002	0.0001	0.0004	0.0002	0.0002	0	0	0.0004	0.0013	0.0001	0.0002	0.0001	0.0001	0.0052	0.0002	0.0003	0.0001	0.0001	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0047	0.0003	0.0006	0.0009	0.0005	0.0002	0.0001	0.0002	0	0.0007	0.001	0.0004	0.0001	0.0001	0.0001	0.0003	0.0001
Massilia sp. WG5	0.0002	0	0	0	0.0001	0	0.001	0.0003	0.0003	0	0.0007	0.0001	0.0015	0	0	0	0.0001	0.0007	0	0	0.0001	0	0	0.0001	0.0001	0	0	0	0	0.0002	0.0007	0	0	0.0002	0	0	0.0001	0	0	0	0	0	0.0002	0	0.0001	0	0	0	0	0.0002	0	0	0.0268	0
Xenorhabdus doucetiae	0	0	0	0	0	0	0	0.0003	0	0	0	0.0001	0	0	0.002	0.0007	0	0.0006	0	0	0	0	0	0	0	0.0092	0	0	0	0	0	0.0028	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0	0.001	0	0	0
Micromonospora inositola	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0	0.0001	0.0006	0	0.0001	0.0003	0	0.0001	0	0.0002	0.0001	0.0004	0	0	0	0.0001	0.0001	0.0062	0.0001	0	0.0001	0.0002	0.0001	0	0.0001	0	0.0063	0.0001	0.0001	0.0001	0.0001	0	0.0001	0	0.0003	0	0	0	0.0001	0	0.0004	0.0001	0	0.0001	0.0001	0.0004	0.0001	0.0002
Micromonospora coriariae	0.0001	0	0.0002	0.0001	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0.0003	0	0.0001	0	0.0003	0.0001	0.0006	0	0	0	0.0001	0.0001	0.0003	0.0007	0	0.0001	0.0004	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0.0004	0.0001	0	0	0	0.0033	0	0	0	0.0001	0	0.0003	0.0001	0	0.0001	0.0001	0.0052	0	0.0028
Bradyrhizobium erythrophlei	0.0001	0.0001	0	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0	0	0.0001	0.0001	0	0.0001	0.0069	0.0002	0	0.0001	0	0.0003	0.0001	0	0.0001	0.0001	0.0001	0	0	0.0001	0.0001	0.0001	0.0001	0.0001	0	0.0046	0.0001	0	0.0001	0	0.0003	0.0001	0	0.0001	0.0001	0	0.0001	0	0.0001	0.012	0.0001	0.0001	0.0001	0.0002
Bartonella elizabethae	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.0002	0	0	0	0	0	0	0	0	0.0003	0	0	0.0005	0	0	0	0	0	0	0.0005	0	0
Neorhizobium sp. SOG26	0	0.0001	0	0	0	0	0.0002	0.0001	0.0001	0	0	0	0.0001	0	0	0.0044	0.0001	0	0	0.0007	0	0	0	0.0001	0.0001	0	0	0	0	0.0001	0	0.0003	0.0003	0.0001	0	0	0	0	0.0002	0	0	0	0	0.0001	0	0	0	0	0.0001	0.0001	0.0008	0	0.0001	0
Gemmobacter sp. HYN0069	0	0	0	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0	0	0	0.0001	0.0001	0.0002	0	0.0001	0	0	0.0245	0.0001	0	0.0001	0.0001	0	0.0001	0	0	0	0.0001	0.0001	0.0002	0.0001	0	0.0001	0	0.0002	0.0001	0.0003	0.0002	0.0001	0.0016	0.0002	0.0001
Acinetobacter haemolyticus	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185	0	0	0	0	0	0	0	0	0.0001	0.0121	0.0001	0.0001	0	0	0	0	0	0	0.0005	0	0.0002	0	0	0	0	0	0.0005	0	0	0.0001
Rhizobium jaguaris	0	0.0001	0	0.0001	0.0001	0	0.0001	0.0006	0.0001	0	0	0	0.0001	0.0001	0	0.0004	0.0001	0	0	0.0008	0	0	0.0004	0.0001	0.0003	0	0	0	0	0.0008	0	0.0001	0.0001	0	0	0	0	0	0.0001	0	0	0	0	0.0004	0	0	0	0	0.0001	0.0006	0.0002	0.0001	0.0001	0.0001
Ochrobactrum pseudogrignonense	0	0.0001	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0.0001	0.0004	0.0002	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0
Streptomyces sp. S063	0	0.0001	0.0001	0.0001	0.0001	0.0001	0	0.0002	0.0002	0	0	0	0	0.0021	0	0.0001	0.0131	0.0001	0	0	0.0001	0.0002	0	0	0.0047	0.0001	0	0.0001	0.0001	0	0	0	0	0	0.0001	0.0001	0	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0	0.0002	0.0001	0	0	0	0	0.0001	0
Crenobacter cavernae	0	0	0	0.0331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0
Streptomyces paludis	0.0001	0.0002	0	0.0002	0.0003	0.0003	0	0.0001	0.0023	0	0.0001	0.0001	0	0.0002	0.0001	0.0004	0.0001	0.0008	0	0	0	0.0008	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0003	0	0	0	0.0001	0.0001	0.0052	0.0001	0.0001	0.0006	0.0004	0.0001	0.0005	0.0004	0.0001	0.0001	0.008	0	0.0007	0.0007	0.0003	0	0	0.0001	0.0003	0.0001
Streptomyces asterosporus	0	0.0001	0	0.0001	0.0001	0.0004	0	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0	0.0003	0.0002	0.0001	0	0	0.0001	0.0005	0	0.0001	0.0001	0.0001	0	0.0002	0.0002	0	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0.0022	0.0002	0.0003	0.0006	0.0002	0.0001	0.0001	0.0001	0	0.0003	0.0029	0.0002	0	0.0001	0.0001	0.0001	0.0154
Streptomyces violaceoruber	0	0.0001	0.0373	0	0.0001	0	0	0	0.0001	0	0	0	0	0.0002	0	0.0001	0	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0.0002	0.0001	0	0.0001	0	0	0.0001	0	0	0.0001	0.0001	0	0	0	0	0.0001	0
Pseudomonas viridiflava	0	0.0002	0	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0	0.0005	0	0.0001	0	0	0	0	0	0	0	0	0.0038	0.0001	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0.0123	0	0
Staphylococcus hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344	0	0	0	0	0	0
Caulobacter flavus	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.0015	0	0	0	0	0	0	0	0	0	0.0001	0.0001	0	0	0	0	0	0.0001	0.0051	0	0	0	0	0	0	0	0	0
Geobacter sp. M21	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0.0006	0	0	0	0	0
Pseudarthrobacter sulfonivorans	0.0001	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0.0156	0	0	0.0067	0.0001	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123	0	0
Mycobacterium intracellulare	0.0001	0.0001	0.0001	0.0005	0.0001	0.0001	0.0007	0.0002	0.0001	0	0.0001	0	0.0039	0.0004	0.0104	0.0001	0.0001	0.0007	0	0	0.0033	0.0003	0.0001	0	0.0001	0.0003	0.0001	0.0004	0.0015	0.0001	0.0001	0	0.0007	0.0001	0.0001	0.0001	0.0004	0	0.0001	0.0003	0	0.0001	0	0.0005	0.0002	0.0003	0.0005	0.0002	0	0	0.0003	0.0003	0.002	0.0007
Algicoccus marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus yeei	0.0001	0.0001	0	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0006	0.0002	0.0004	0.0003	0.0006	0.0011	0.0002	0.0002	0.0023	0.0059	0.0001	0	0	0.0002	0.0001	0.0017	0.0001	0.0002	0.0001	0	0.0001	0.0011	0	0.0002	0.0002	0.0001	0.0001	0	0	0.0002	0.0002	0.0002	0.0003	0.0007	0.0001	0.0003	0	0.0002	0.0001	0.0006	0.0009	0.0001	0.0013	0.0003	0.0006
Thermus aquaticus	0	0	0	0	0.0008	0.0003	0	0	0	0	0.0184	0	0	0	0	0	0.0002	0	0	0	0.0011	0	0	0	0	0	0.0002	0	0	0	0.0019	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0.0004	0	0	0	0.0006
Streptomyces sp. 769	0	0.0002	0	0.0001	0.0001	0.0001	0	0.0001	0	0	0	0	0	0.0001	0.0001	0.0003	0.0001	0.0001	0	0	0	0.0001	0	0.0001	0.0001	0.0001	0	0.0002	0.0002	0	0	0	0.0001	0	0.0001	0	0.0001	0.0006	0.0001	0.0001	0.0003	0.0001	0.0216	0.0001	0.0001	0	0.0003	0.0001	0.0065	0	0	0.0001	0.0001	0.0001
Kangiella profundi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0
Pigmentiphaga aceris	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0284	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacillus sp. SCSIO 07484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0.0001	0	0	0	0	0	0	0	0	0.0001	0.0147	0	0	0	0.0213	0.0001
Butyrivibrio proteoclasticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. NIC1	0	0	0	0	0	0.0002	0	0.0001	0	0	0	0.0004	0.0006	0	0.0001	0.0001	0	0	0	0	0	0	0.0001	0	0.0003	0.0001	0.0002	0	0	0	0.0001	0.0001	0.0001	0	0.0003	0.0037	0	0	0	0	0.0016	0.0004	0.0001	0	0.0001	0	0	0	0.0003	0	0.0001	0	0.0002	0.0003
Mycolicibacter sinensis	0	0.0001	0.0001	0.0001	0.0048	0.0001	0	0	0	0	0.0001	0	0.0004	0	0	0	0.0001	0.0001	0	0	0	0.0001	0.0001	0	0	0	0.0001	0	0.0003	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0	0	0.0001	0.0004	0.0002	0.0001	0	0	0	0.0002	0	0.0001	0.0001
Streptomyces sp. Go-475	0	0.0002	0	0.0001	0.0001	0.001	0	0.0002	0.0001	0	0.0001	0.0001	0	0.0002	0.0001	0.0004	0.0005	0.0001	0	0	0.0003	0.0009	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0	0.0001	0.0001	0.0001	0.0001	0	0.0073	0.0002	0.0007	0.0041	0.0005	0.0002	0.0002	0.0001	0	0.0004	0.0007	0.0003	0	0.0001	0.0006	0.0002	0.0013
Filifactor alocis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocella tundrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0	0	0	0.0012
Pseudomonas silesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0.0001	0	0	0.0003	0	0.0007	0	0	0.0002	0
Paenibacillus bovis	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0.0001	0	0.0094	0	0	0	0
Carnobacterium sp. 17-4	0	0	0.0001	0	0	0	0	0	0.0085	0	0	0	0.0001	0	0	0	0	0	0	0	0	0.0093	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium novyi	0	0	0	0	0	0	0.0049	0	0	0.0002	0	0.0001	0	0	0	0.0002	0.0001	0	0	0.0001	0	0	0	0	0	0.0001	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0.0002	0	0	0	0	0.0003	0.0283	0	0	0.0001
Streptomyces parvulus	0	0.0002	0	0.0001	0.0001	0.0003	0.0001	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0	0.0002	0.0001	0.0001	0	0	0.0002	0.0005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0005	0	0	0	0.0001	0	0.0001	0.0001	0.0001	0.0013	0.0002	0.0003	0.0004	0.0002	0.0001	0.0001	0.0018	0	0.0004	0.0005	0.0002	0	0.0001	0.0001	0.0001	0.0001
Kitasatospora aureofaciens	0.0001	0	0	0.0004	0.0001	0	0	0.0001	0	0	0.0001	0	0	0	0.0004	0	0	0.0001	0	0.0001	0	0	0	0	0	0.0001	0	0.0004	0.001	0.0001	0	0	0.0001	0	0	0	0.0002	0	0.0001	0.0001	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0.0001
Achromobacter xylosoxidans	0.0002	0.0001	0	0.0001	0.0012	0.0002	0.0002	0.0002	0.0004	0.0001	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0007	0	0.0002	0.0004	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0001	0.0001	0.0002	0.0002	0.0004	0.0001	0.0001	0	0.0002	0.0001	0.0002	0.0002	0.0007	0.0001	0.0001	0.0002
[Clostridium] hylemonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium bernardetii	0	0	0	0	0.0001	0.0054	0.0003	0.0001	0.0001	0.0031	0	0.0003	0.0001	0.0001	0.0007	0.001	0.0001	0.0001	0	0	0.0001	0.0001	0.0001	0.0065	0.0057	0	0	0	0	0	0.0011	0.0002	0	0.0002	0.0011	0.0003	0.0002	0	0	0	0.0001	0	0	0.0006	0.0001	0	0.0003	0	0.0002	0	0.0001	0.0001	0	0.0002
Idiomarina sp. X4	0	0	0	0	0	0	0	0.0001	0.0023	0	0	0	0	0	0.0001	0	0.0296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0005	0	0	0.0004
Proteus vulgaris	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0.0004	0	0	0.0054	0.0007	0	0.002	0	0	0	0	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0001	0	0	0	0	0.0005
Meiothermus silvanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0.0005	0	0	0	0	0	0	0.0325	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia phenoliruptrix	0	0.0001	0	0	0	0.0003	0.0001	0	0.0003	0	0	0	0	0.0002	0.0001	0	0.0005	0.0195	0	0	0	0	0	0	0	0.0001	0.0004	0.0033	0	0.0003	0	0.0007	0.0002	0	0.0001	0.0001	0.0001	0	0	0	0.0001	0.0002	0.0002	0	0.0002	0	0	0	0.0002	0.0002	0.0004	0	0	0.0002
Mycolicibacterium aurum	0	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0027	0.0001	0.0002	0	0.0008	0.0001	0.0001	0.0002	0.0015	0.0001	0	0	0.0001	0.001	0.0002	0	0.0001	0.0003	0.0001	0.0003	0.0116	0.0001	0	0	0.0001	0.0001	0.0001	0.0001	0.0006	0.0001	0	0.0001	0	0.0001	0.0001	0.0006	0.0002	0.0003	0.0003	0.0001	0.0001	0	0.0004	0.0001	0.0002	0.0001
Pandoraea sp. XY-2	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0	0	0	0.0008	0	0.0001	0.0001	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0.0001	0.0005	0	0	0	0	0	0	0	0	0.0017	0	0	0	0.0006
Desulfocurvibacter africanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celeribacter indicus	0.0001	0	0	0.0002	0.0002	0.0003	0.0002	0.0002	0.0003	0.0011	0.0001	0.0003	0.0003	0.0003	0.0003	0.0007	0.0135	0.0001	0.0009	0.0001	0	0.0001	0.0003	0.0001	0.0005	0.0001	0.0001	0	0	0	0.0001	0	0.0004	0.0001	0.0001	0.0001	0	0	0.0001	0.0002	0.0002	0.0003	0.0001	0.0001	0.0002	0	0.0003	0.0001	0.0003	0.0001	0.0002	0.0002	0.0003	0.0015
Neoasaia chiangmaiensis	0	0	0	0	0.0001	0.0003	0.0001	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0
Euzebya sp. DY32-46	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium sp. MDT1-60	0	0	0.0001	0	0	0.0003	0	0	0.0036	0.0002	0	0.0001	0.0001	0.0005	0.0001	0.0002	0.0001	0.0007	0.0002	0	0	0	0	0.0001	0	0	0	0	0	0.0003	0.0128	0.0001	0	0.0001	0.0001	0.0002	0	0	0.0004	0	0.0001	0.0012	0.0001	0	0.0005	0	0.0019	0.0002	0	0	0	0.0003	0	0.0004
Streptomyces fungicidicus	0	0.0001	0	0	0	0.0001	0	0	0.0027	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0007	0.0001	0.0001	0.0002	0.0001	0	0	0	0	0.0001	0.0008	0.0001	0	0	0	0	0
Bradyrhizobium sp. CCGE-LA001	0	0	0	0	0.0014	0	0	0.0005	0.0022	0	0	0	0	0.0002	0	0	0	0.0001	0	0.0001	0	0.0001	0	0	0.0001	0	0.0093	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0.0001	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0	0.0005
Bacteroides intestinalis	0	0.0006	0	0	0	0	0	0	0	0	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0.0032	0.0002	0	0	0.0047	0	0	0.0002	0	0	0	0	0	0.0003	0	0.0003	0.0001	0	0.0001	0	0.0001	0	0
Ephemeroptericola cinctiostellae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0.0031	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0
Paraburkholderia atlantica	0	0.0001	0	0	0	0.0001	0.0001	0	0.0003	0	0	0	0	0.0002	0.0001	0	0.0001	0.0005	0	0	0	0	0	0	0	0.0001	0.0002	0.0025	0	0.0002	0	0.0004	0.0003	0.0001	0.0001	0.0001	0	0	0	0	0.0001	0.0002	0.0001	0	0.0072	0	0	0	0.0001	0.0001	0.0005	0	0.0024	0.0001
Microbulbifer sp. SH-1	0	0	0	0	0	0.0051	0	0	0	0.0041	0.0001	0.0006	0	0	0	0	0	0	0	0	0	0.0205	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0.0001	0.0002	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0.0002
Pseudomonas oryzihabitans	0	0	0	0	0	0	0.0001	0	0	0	0.0001	0.0002	0.0001	0	0	0	0.0034	0.0001	0	0	0	0.0001	0	0	0.0001	0	0.0001	0.0002	0	0	0	0	0.0093	0	0	0.0001	0	0	0	0	0.0001	0.0021	0	0	0.0001	0.0001	0	0	0.0001	0.0001	0	0.0001	0.0001	0
Streptomyces lunaelactis	0.0001	0.0002	0	0.0001	0.0001	0.0003	0	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0.0001	0.0003	0.0001	0.0003	0	0	0	0.0003	0	0.0001	0.0001	0.0002	0.0001	0.0001	0.0003	0	0	0	0.0001	0.0001	0.0002	0.0001	0.0001	0.0012	0.0003	0.0002	0.0002	0.0003	0.0102	0.0035	0.0002	0	0.0006	0.0005	0.0002	0	0.0001	0.0001	0.0002	0.0033
