name	Simulation_left_010_007_5M_k	Simulation_left_020_007_5M_k	Simulation_left_050_007_5M_k	Simulation_left_100_007_5M_k	Simulation_left_150_007_5M_k	Simulation_left_200_007_5M_k	Simulation_left_250_007_5M_k	Simulation_left_300_007_5M_k	Simulation_left_500_007_5M_k	Simulation_left_010_015M_k	Simulation_left_020_015M_k	Simulation_left_050_015M_k	Simulation_left_100_015M_k	Simulation_left_150_015M_k	Simulation_left_200_015M_k	Simulation_left_250_015M_k	Simulation_left_300_015M_k	Simulation_left_500_015M_k	Simulation_left_010_030M_k	Simulation_left_020_030M_k	Simulation_left_050_030M_k	Simulation_left_100_030M_k	Simulation_left_150_030M_k	Simulation_left_200_030M_k	Simulation_left_250_030M_k	Simulation_left_300_030M_k	Simulation_left_500_030M_k	Simulation_left_010_045M_k	Simulation_left_020_045M_k	Simulation_left_050_045M_k	Simulation_left_100_045M_k	Simulation_left_150_045M_k	Simulation_left_200_045M_k	Simulation_left_250_045M_k	Simulation_left_300_045M_k	Simulation_left_500_045M_k	Simulation_left_010_090M_k	Simulation_left_020_090M_k	Simulation_left_050_090M_k	Simulation_left_100_090M_k	Simulation_left_150_090M_k	Simulation_left_200_090M_k	Simulation_left_250_090M_k	Simulation_left_300_090M_k	Simulation_left_500_090M_k	Simulation_left_010_150M_k	Simulation_left_020_150M_k	Simulation_left_050_150M_k	Simulation_left_100_150M_k	Simulation_left_150_150M_k	Simulation_left_200_150M_k	Simulation_left_250_150M_k	Simulation_left_300_150M_k	Simulation_left_500_150M_k
Rhodoferax sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001182	0	0	0	0.0001138	0	0	0.008952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001589	0	0	0	0
Streptomyces sp. Go-475	0	0	0	0	0	0.0003965	0	0	0	0	0	0	0	0	0	0.0001757	0.0002337	0	0	0	0	0.0004216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004041	0	0.0004584	0.001866	0.0001568	0	0	0	0	0.0001011	0.0002657	0.0001345	0	0	0.0003319	0.0001101	0.0006004
Rheinheimera sp. D18	0	0	0	0	0	0	0.009157	0	0	0	0	0	0.0001321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. OIL-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008086	0	0	0	0	0	0	0	0	0	0.0004809	0	0	0	0	0	0	0.0007188	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces xinghaiensis	0	0.0002397	0	0.0001031	0.0001189	0	0	0	0	0	0	0	0	0	0	0.0001293	0.0001254	0	0	0	0	0.0001061	0	0	0	0.007257	0	0	0.000143	0	0	0	0	0	0	0	0	0.000272	0.0002146	0	0.0001133	0	0	0	0	0	0.0002244	0.0001074	0	0	0	0	0.0001259	0
Rhodanobacter sp. FDAARGOS 1247	0	0	0	0	0	0	0	0	0	0	0.0004731	0	0	0	0	0	0	0.0001397	0	0	0	0	0	0.0002111	0.0001301	0	0	0.002008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005943	0	0	0	0.0001522	0	0.0002038	0	0	0
Paraburkholderia caribensis	0	0	0	0	0	0	0	0	0.0003508	0	0	0	0	0	0	0	0.0003353	0	0	0	0	0	0	0	0.0001778	0.0003647	0.002281	0.003361	0	0	0	0.0004254	0	0	0	0	0	0	0	0	0.0001015	0.001103	0	0	0.0001227	0	0	0	0	0.0002005	0.0002783	0	0	0.0001563
Calothrix sp. 336/3	0	0	0	0	0	0	0	0	0.00891	0	0	0	0	0	0	0	0	0	0	0	0	0.0001008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002328	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum frisingense	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006912	0	0
Nocardia otitidiscaviarum	0	0	0	0.0004708	0	0	0	0	0	0	0.0003697	0	0	0	0	0	0	0	0	0	0	0	0.0001498	0	0.0001511	0.00196	0.0001148	0	0	0	0	0	0.0002256	0	0.003949	0	0	0	0	0	0	0.0001168	0.0002601	0.0001547	0	0.0005287	0.0004041	0	0	0	0	0.0002312	0.0001227	0
Roseovarius sp. TM1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008957	0	0	0	0	0	0	0	0	0.0002478	0
Flavobacterium commune	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001751	0	0.0003643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008241	0	0	0	0	0	0	0	0.000411	0	0	0	0	0	0	0
Actinotignum schaalii	0	0	0	0	0	0	0	0.001449	0	0	0	0	0	0	0	0.004102	0	0	0	0	0	0	0	0	0	0	0.0002336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001868	0	0	0	0	0	0.001515	0	0	0	0	0	0
Clostridium taeniosporum	0	0	0	0	0	0	0	0	0	0	0	0	0.005565	0	0	0	0.003067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002774	0	0	0	0	0	0	0	0.0002285	0	0	0	0	0	0	0	0	0	0
Shewanella pealeana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008222	0	0	0	0	0	0	0.0008992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium virtanenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003982	0	0	0	0	0	0	0	0	0	0.0002882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004845	0
Streptomyces phaeolivaceus	0	0	0	0	0	0.0004644	0	0.000338	0	0	0	0	0	0	0	0.0004693	0	0.0002633	0	0	0	0.0007529	0	0	0	0.0003486	0	0	0	0	0	0	0.0004817	0	0	0	0	0.002262	0	0.001624	0.0003289	0.0004676	0	0	0	0	0.0001454	0.0003739	0.0006214	0	0	0	0.0001701	0
Baekduia soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008969	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. MG62	0	0	0	0	0	0.0004616	0	0	0	0	0	0	0	0	0	0.0001999	0.0003097	0	0	0	0.0001291	0.0004979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003947	0	0.0003558	0.001651	0.0001921	0	0	0	0	0	0.0003141	0.0001903	0	0	0.000321	0.0001184	0.0004058
Thioalkalivibrio sp. K90mix	0	0	0	0	0	0.004652	0.002202	0.001273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002303	0	0	0.0002604	0	0	0	0	0	0	0	0.0001214	0
Pseudomonas sp. LBUM920	0	0	0	0	0	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001261	0	0	0	0	0	0	0	0	0	0	0	0.003994	0	0
Oerskovia sp. KBS0722	0.0001803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007357	0	0	0	0	0	0	0	0	0	0	0	0	0.001526
Euzebyella marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008866	0
Providencia heimbachae	0	0	0	0	0	0	0	0	0	0	0	0.000184	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. S5	0.0002032	0	0.0001364	0	0	0.005602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001005	0	0	0	0.0002898	0	0	0	0.0002137	0	0	0.00129	0	0	0.0001557	0	0.0004964	0	0	0	0	0	0	0	0	0.0001751	0	0	0	0	0	0.0001125	0	0.0002521	0
Paraburkholderia sprentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001986	0	0	0	0	0	0	0	0	0	0.0004764	0	0.0001051	0	0.0002076	0	0	0	0	0	0	0	0	0	0	0.0003114	0	0.007417	0	0	0	0	0	0.0002977	0	0	0
Rhodobacter sp. CZR27	0	0	0	0	0	0	0	0	0	0.0001678	0	0	0	0	0.0004829	0	0	0	0.007965	0	0	0	0	0	0.000122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002293	0	0
Pandoraea oxalativorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008063	0	0.001096	0	0	0	0	0	0	0	0	0.003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0.000354	0	0	0	0	0	0	0	0	0.0002741	0	0	0	0.0002788
Bradyrhizobium paxllaeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004433	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003599	0	0	0	0	0.004148	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdellovibrio sp. ZAP7	0	0	0	0	0.006886	0.002045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Draconibacterium orientale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008799	0	0	0.0001304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium agaricidamnosum	0	0	0	0	0	0	0.0001871	0.0001595	0.0001425	0	0.003572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003725	0	0	0	0.0001135	0	0	0.0001094	0.0009174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia sp. FGI94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter sp. APR13	0	0	0	0	0	0	0	0.0001011	0.0001208	0	0	0	0.0007957	0	0	0	0.000339	0.0002261	0	0	0.0003807	0	0	0	0	0	0	0.004562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00173	0	0.0006427	0	0	0	0	0
Alteromonas mediterranea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002213	0	0	0	0	0.0001074	0	0	0	0	0	0	0	0	0	0	0.006442	0	0	0	0	0	0	0.0001332	0	0	0	0	0	0	0	0	0
Rhodoferax ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008893	0
Aeromonas veronii	0	0	0.0008196	0	0	0.0009347	0	0	0	0.0003151	0	0	0	0	0.0001031	0	0.00206	0	0.002129	0	0	0.0001584	0	0	0	0	0.0001753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002654	0	0	0	0.001026	0	0	0	0	0.0002512	0	0.0005063	0	0.0001327
Tessaracoccus flavescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002714	0	0	0	0	0	0.0003955	0	0	0	0	0	0.00495	0	0.0006454	0	0.0001591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium chauvoei	0	0	0	0	0	0	0	0	0	0.0002043	0	0	0	0	0	0.007191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001433	0	0	0	0	0	0	0	0	0
Modestobacter marinus	0	0	0	0.0005931	0	0	0	0.0005844	0	0	0	0	0	0.004373	0	0	0.0002035	0.0003949	0	0	0	0	0.0007635	0	0.0001531	0.0001428	0.0001817	0.000373	0	0	0	0.0003452	0	0.0005056	0	0.0001015	0	0	0	0	0	0.0001083	0	0	0	0	0	0	0	0	0	0	0	0
Niveispirillum cyanobacteriorum	0	0	0	0.0007281	0	0	0	0	0.0002292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces qinzhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003973	0	0	0	0	0	0	0	0	0	0	0.0001754	0	0	0	0	0	0.008217	0	0	0	0	0	0	0	0	0	0
Clostridium sp. AWRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium carnipullorum	0	0	0	0	0	0.0003396	0	0.000186	0	0.001366	0	0.0001531	0	0.0003463	0.0001039	0.001017	0	0	0	0	0	0	0	0	0.0002844	0	0	0	0	0	0.0002448	0.000483	0	0.0004073	0.000126	0.0004721	0.000113	0	0	0	0	0	0	0	0	0	0	0	0.0001095	0	0.002665	0	0	0.0003485
Actinomyces gaoshouyii	0	0	0	0	0	0	0	0.0002639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007365	0	0.0001886	0	0	0	0	0	0	0	0.0009377	0
Pseudomonas oryzihabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005704	0	0	0	0	0	0	0	0	0.001118	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus bovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003313	0.0008901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00451	0	0	0	0
Nitrosococcus halophilus	0	0	0	0	0	0	0.008705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkalihalobacillus halodurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. S063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006891	0	0	0.005902	0	0	0	0	0	0	0	0.001978	0	0	0	0	0	0	0	0	0	0	0	0	0.0001226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium nakagawai	0	0	0	0	0	0	0	0	0	0.0003431	0	0	0	0	0.0001465	0.0001887	0	0	0	0	0	0	0	0.0003027	0	0	0	0	0	0	0.0001759	0	0	0	0.0001778	0	0	0	0	0	0	0	0	0.004366	0.00298	0	0	0	0	0	0	0	0	0
Bremerella volcania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00868	0	0	0	0	0
Zunongwangia sp. SCSIO 43204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007063	0	0	0	0	0	0	0	0.005954	0	0	0	0	0	0	0	0	0	0
Streptomyces avermitilis	0	0	0	0	0	0.0004857	0	0	0	0	0	0	0	0	0	0.002096	0	0	0	0	0	0.0006815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002781	0.0001327	0.0003801	0.0003773	0.000425	0	0	0.000109	0	0.0001674	0.0005342	0.0002855	0	0	0	0.0001905	0
Sulfurivermis fontis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001296
Flavobacterium sp. KBS0721	0	0	0	0	0	0	0	0	0.0003799	0	0	0	0	0.0002293	0	0	0	0.0002181	0	0	0	0	0	0.001084	0	0	0	0	0	0	0.001219	0	0	0	0.004382	0	0	0	0.0001028	0	0	0.0001594	0	0	0.0003398	0	0.0001873	0	0	0	0	0.0002159	0	0.0001262
Mycobacterium branderi	0	0	0	0	0	0	0	0	0	0	0	0	0.0004746	0	0	0	0	0	0	0	0.0001372	0	0	0	0	0.003293	0	0	0.0004157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001001	0	0	0	0	0	0.0005844	0	0.0001257	0.002605
Mycobacterium avium	0	0	0	0.0001435	0	0	0.0002033	0	0	0	0	0	0.0009093	0	0	0	0	0.0001319	0	0	0.001639	0	0	0	0	0.0001188	0	0	0.0005767	0	0	0	0.003935	0	0	0	0	0	0	0.0001029	0	0	0	0.0001586	0	0	0	0	0	0	0.0001092	0	0.0003916	0.0001753
Flavobacterium sp. MDT1-60	0	0	0	0	0	0	0	0	0.001423	0	0	0	0	0.0001838	0	0	0	0.0002331	0	0	0	0	0	0	0	0	0	0	0	0	0.005461	0	0	0	0	0	0	0	0.0001592	0	0	0.0004676	0	0	0.0002019	0	0.0001887	0	0	0	0	0.0001248	0	0.0001386
Propionibacterium freudenreichii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003659	0	0	0	0	0	0	0.000172	0	0	0	0.0002093	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001254	0	0	0.0002871	0	0	0	0	0	0.006275	0	0	0
Xenorhabdus poinarii	0	0	0	0	0.004952	0	0	0	0	0	0	0	0	0	0.0002536	0	0	0.0001662	0	0	0	0	0	0	0	0.00124	0	0	0	0	0	0.0003909	0	0	0.0004628	0	0	0	0	0	0	0	0	0	0	0	0	0.0009512	0	0	0.0001292	0	0	0
Gordonia phthalatica	0	0	0.0001448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001203	0.000118	0	0	0	0	0	0	0
Bacillus paralicheniformis	0	0.002381	0	0	0	0	0	0	0	0	0	0	0	0.006164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus gonensis	0	0	0.001627	0	0	0	0.0002499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001674	0	0.000116	0	0	0	0.00443	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004476	0	0	0	0	0	0	0	0	0
Streptomyces antibioticus	0	0	0	0	0	0.000358	0	0	0	0	0	0	0	0	0	0.0002157	0	0	0	0	0	0.002904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001837	0.0001146	0.0003506	0.001821	0.0001744	0	0	0	0	0.0001136	0.0003163	0.000198	0	0	0	0.0001406	0
Companilactobacillus farciminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003202	0	0	0	0	0	0	0.004357	0	0	0	0	0	0	0	0.0001438	0	0.0017	0	0	0	0	0.00201	0	0	0	0	0	0	0	0	0
Syntrophomonas wolfei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photorhabdus laumondii	0	0	0	0	0	0.00343	0	0	0.0006028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001389	0	0	0	0.0007257	0	0	0	0	0	0.002375	0	0	0
Fusobacterium pseudoperiodonticum	0	0	0	0	0	0	0	0	0.0001932	0	0	0	0	0	0	0	0	0	0	0	0.007961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003618
Erwinia billingiae	0	0	0	0	0	0.007589	0	0.0009139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces galilaeus	0	0	0	0	0	0.0005441	0	0	0	0	0	0	0	0	0	0.0002192	0	0	0	0	0	0.001572	0.001103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002618	0	0.0004348	0.0009892	0.0002358	0	0	0	0	0	0.0004024	0.000224	0	0	0	0.0001528	0
Cyanobacterium aponinum	0	0	0	0	0	0	0	0	0	0	0.007387	0	0	0	0.001104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kribbella flavida	0	0	0	0.005615	0	0	0	0	0	0	0	0	0	0.0002929	0	0	0	0.0006587	0	0	0	0	0	0	0	0	0	0.0008539	0	0	0	0	0	0.0001448	0	0	0	0	0	0	0	0	0	0	0	0	0.0001348	0	0	0	0	0	0.000481	0.0003029
Bacillus siamensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terasakiella sp. SH-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004638	0	0	0	0	0	0	0	0.003822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter schindleri	0	0	0	0	0	0	0.008457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella holmesii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008455	0	0	0	0	0	0	0	0	0	0	0
Rufibacter tibetensis	0	0	0	0	0.0002285	0	0	0	0	0	0	0	0	0	0.001823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonia polyisoprenivorans	0	0	0.0009704	0	0	0	0	0	0.0001172	0	0	0	0	0	0.0001341	0	0	0	0	0	0	0	0.0001731	0	0	0	0	0	0.000191	0	0	0	0	0.004194	0.001451	0	0	0	0	0.0002298	0	0	0	0	0	0.0006527	0.0001853	0	0	0	0	0	0.0001179	0
Rothia mucilaginosa	0	0	0	0	0	0.0008164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005198	0	0	0	0	0	0	0	0	0.002398	0	0	0	0	0	0	0	0	0
Achromobacter insolitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001748	0	0	0	0	0	0	0	0	0	0	0	0.006342	0	0	0	0	0.0003167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomadura sp. 32-07	0	0	0	0.0003099	0.000412	0	0	0.0002351	0.0001612	0	0	0	0	0	0	0	0.0002585	0	0	0	0	0.0003502	0.0008412	0	0	0	0.0005138	0.0001454	0	0.001066	0.0004368	0.0001222	0.0001291	0	0.001041	0.0003507	0.0001116	0	0	0	0.000563	0	0	0	0.0003779	0	0.0002862	0	0	0	0.0001316	0	0.00029	0.0002603
Paenibacillus terrae	0	0	0	0	0	0	0	0	0.002591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004796	0	0	0	0	0	0	0.0002452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007479	0	0	0
Duganella sp. AF9R3	0	0	0	0	0	0	0.0001607	0.003353	0.0004931	0	0.0005711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002466	0	0	0	0.0001534	0	0	0	0	0	0	0	0	0	0	0.0002539	0	0	0	0	0.0009224	0	0	0	0
Celeribacter indicus	0	0	0	0	0	0	0	0	0	0.0001657	0	0	0	0	0	0.0002187	0.006567	0	0.0004819	0	0	0	0	0	0.0001379	0	0	0	0	0	0	0	0.0001013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006735
Clostridium tyrobutyricum	0	0	0	0	0	0.007537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375	0	0.0004005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardiopsis alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001818	0	0.0001153	0	0	0	0	0.0002383	0	0	0	0.0009676	0.0001287	0	0	0	0	0.0001541	0	0.0003936	0.0002109	0	0	0	0	0	0	0	0.002312	0	0	0	0	0.0002117	0.0006555	0.0007305	0	0	0.0003754
Chryseobacterium sp. T16E-39	0	0	0	0	0	0	0	0	0	0.0007551	0	0.0001322	0	0.007177	0	0.0001098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium fermenticellae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002997	0
Paeniclostridium sordellii	0	0	0.0001167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007477	0	0	0	0	0	0	0	0	0	0.0001268	0	0	0	0	0	0	0	0	0	0	0	0	0.0005792
Nocardia seriolae	0	0	0	0.0003451	0	0	0	0	0	0	0.000272	0	0	0	0	0	0	0	0	0	0	0	0.0001057	0	0.0001172	0.0002822	0.001529	0	0	0	0	0	0.0002497	0	0	0	0	0	0	0	0.0008908	0	0.0002266	0.0001284	0	0.0003451	0.0002663	0	0	0	0	0.003406	0.0001206	0
Brevundimonas sp. MF30-B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00562	0	0	0	0	0	0	0	0	0	0	0	0.002217	0	0	0	0.0004288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
